step,epoch,lossD,lossG,sec_per_step
143,1,0.029024,6.070505,0.1074
144,1,0.031703,5.990938,0.1073
145,1,0.020589,6.112692,0.1073
146,1,0.041898,6.781858,0.1072
147,1,0.029271,6.473512,0.1072
148,1,0.043934,5.147651,0.1072
149,1,0.125054,7.032680,0.1071
150,1,0.134850,4.380531,0.1071
151,1,0.228963,7.632614,0.1071
152,1,0.428620,0.542509,0.1071
153,1,2.493807,9.775074,0.1072
154,1,1.367904,5.397772,0.1073
155,1,0.056813,2.422790,0.1073
156,1,0.834832,5.980292,0.1073
157,1,0.070688,7.163284,0.1074
158,1,0.304530,5.764668,0.1074
159,1,0.099280,4.268004,0.1073
160,1,0.096165,3.685304,0.1073
161,1,0.185395,5.301247,0.1073
162,1,0.114612,5.406250,0.1073
163,1,0.112861,4.419868,0.1073
164,1,0.150890,3.247256,0.1074
165,1,0.289575,5.073423,0.1074
166,1,0.329038,2.985941,0.1074
167,1,0.284652,3.462156,0.1073
168,1,0.258487,5.104851,0.1073
169,1,0.414292,1.384972,0.1072
170,1,0.725796,6.591761,0.1073
171,1,1.006066,1.539669,0.1073
172,1,0.503452,3.334367,0.1073
173,1,0.170495,4.804480,0.1073
174,1,0.380090,3.301632,0.1073
175,1,0.228249,3.195282,0.1073
176,1,0.208968,3.774135,0.1072
177,1,0.251280,3.588073,0.1072
178,1,0.213696,2.938669,0.1072
179,1,0.270426,2.646552,0.1071
180,1,0.338848,3.384263,0.1071
181,1,0.286942,2.871135,0.1071
182,1,0.275020,2.837794,0.1071
183,1,0.299359,3.656859,0.1071
184,1,0.225329,2.850515,0.1070
185,1,0.197087,3.364946,0.1070
186,1,0.184507,3.514639,0.1070
187,1,0.202716,3.349034,0.1069
188,1,0.198116,3.387568,0.1069
189,1,0.251677,3.107041,0.1069
190,1,0.210075,4.004214,0.1069
191,1,0.254847,2.437317,0.1069
192,1,0.404690,5.905535,0.1068
193,1,1.177660,0.107176,0.1068
194,1,3.422095,4.690464,0.1068
195,1,0.509319,4.468168,0.1068
196,1,0.553945,2.004422,0.1067
197,1,0.548898,2.523831,0.1067
198,1,0.379005,3.325282,0.1067
199,1,0.335681,3.118594,0.1066
200,1,0.475366,2.480425,0.1067
201,1,0.345713,2.618101,0.1068
202,1,0.451489,2.459154,0.1068
203,1,0.388853,3.059418,0.1069
204,1,0.352993,2.081562,0.1068
205,1,0.439263,2.890497,0.1068
206,1,0.414789,2.639522,0.1068
207,1,0.333612,2.762021,0.1068
208,1,0.316101,2.764795,0.1068
209,1,0.282607,2.742947,0.1068
210,1,0.365468,2.831348,0.1068
211,1,0.295364,2.996540,0.1068
212,1,0.300450,2.657629,0.1070
213,1,0.276893,3.314692,0.1070
214,1,0.291772,2.455180,0.1070
215,1,0.413203,2.866193,0.1070
216,1,0.369118,3.265977,0.1070
217,1,0.436978,1.992203,0.1069
218,1,0.447854,3.927079,0.1069
219,1,0.763893,0.323622,0.1069
220,1,2.012138,6.597273,0.1069
221,1,1.779103,2.001105,0.1071
222,1,0.519748,1.859762,0.1071
223,1,0.436786,3.664312,0.1071
224,1,0.377849,3.286148,0.1071
225,1,0.254922,2.833564,0.1070
226,1,0.260884,2.683058,0.1070
227,1,0.298368,2.917401,0.1070
228,1,0.304619,2.506969,0.1070
229,1,0.315580,2.222086,0.1070
230,1,0.430147,2.300147,0.1070
231,1,0.439111,2.691463,0.1069
232,1,0.479126,2.241070,0.1069
233,1,0.472501,1.887730,0.1069
234,1,0.395253,2.163636,0.1070
235,1,0.490344,2.197201,0.1070
236,1,0.369948,2.404225,0.1070
237,1,0.650161,1.119880,0.1070
238,1,0.771384,3.872188,0.1070
239,1,0.850029,1.115908,0.1070
240,1,0.764452,3.071947,0.1070
241,1,0.641404,1.992790,0.1070
242,1,0.365960,2.764722,0.1070
243,1,0.404369,2.385146,0.1070
244,1,0.381143,2.382509,0.1069
245,1,0.345334,3.083569,0.1069
246,1,0.512489,1.774243,0.1069
247,1,0.438930,2.790805,0.1069
248,1,0.444474,2.927461,0.1069
249,1,0.443875,1.904606,0.1069
250,1,0.473749,2.693188,0.1068
251,1,0.527453,1.752304,0.1068
252,1,0.444480,2.720754,0.1068
253,1,0.509500,1.300745,0.1068
254,1,0.612987,3.770297,0.1067
255,1,0.579751,1.489680,0.1067
256,1,0.620297,2.946719,0.1067
257,1,0.386328,3.056857,0.1067
258,1,0.519529,1.443239,0.1067
259,1,0.605960,3.739635,0.1067
260,1,0.722001,1.129433,0.1066
261,1,0.738638,3.474667,0.1066
262,1,0.373796,2.855879,0.1066
263,1,0.352994,1.563637,0.1066
264,1,0.534519,2.918508,0.1066
265,1,0.412748,2.186295,0.1065
266,1,0.441650,2.292983,0.1065
267,1,0.417727,2.599874,0.1065
268,1,0.412360,1.791252,0.1066
269,1,0.446738,3.132526,0.1066
270,1,0.488740,1.900828,0.1066
271,1,0.527598,1.984795,0.1065
272,1,0.392144,2.590549,0.1065
273,1,0.569535,1.267654,0.1065
274,1,0.722954,4.595799,0.1064
275,1,1.138771,0.356576,0.1064
276,1,1.942197,4.968973,0.1064
277,1,1.153313,2.136693,0.1065
278,1,0.424583,1.706281,0.1065
279,1,0.565346,3.438755,0.1065
280,1,0.750774,1.519664,0.1065
281,1,0.549214,2.435870,0.1065
282,1,0.409815,2.849434,0.1064
283,1,0.579323,1.227032,0.1064
284,1,0.599445,2.425173,0.1064
285,1,0.561181,1.885652,0.1064
286,1,0.657910,2.529126,0.1064
287,1,0.604260,1.526514,0.1064
288,1,0.636100,2.440152,0.1064
289,1,0.482024,2.607615,0.1063
290,1,0.453015,1.619053,0.1063
291,1,0.582264,2.334774,0.1063
292,1,0.462731,2.422500,0.1063
293,1,0.462559,1.908275,0.1063
294,1,0.511309,1.385869,0.1062
295,1,0.571255,3.575383,0.1062
296,1,0.668234,1.034919,0.1062
297,1,0.714815,3.545925,0.1062
298,1,0.613160,1.804638,0.1062
299,1,0.440256,1.692014,0.1062
300,1,0.521158,2.203602,0.1062
301,1,0.544715,1.529790,0.1062
302,1,0.651564,2.766447,0.1062
303,1,0.561275,1.785942,0.1062
304,1,0.625873,2.216663,0.1062
305,1,0.565028,2.724382,0.1061
306,1,0.638462,1.420594,0.1061
307,1,0.730155,2.937816,0.1061
308,1,0.688754,0.703868,0.1061
309,1,1.012295,4.062556,0.1061
310,1,1.645126,0.518213,0.1061
311,1,1.754667,2.935320,0.1061
312,1,0.902178,1.826554,0.1062
313,1,0.503125,1.484799,0.1062
314,1,0.527625,2.306253,0.1062
315,1,0.591495,1.527426,0.1062
316,1,0.534153,2.101559,0.1062
317,1,0.498303,2.308184,0.1062
318,1,0.484353,1.661994,0.1062
319,1,0.509779,2.488893,0.1062
320,1,0.573554,1.500453,0.1062
321,1,0.529193,2.044486,0.1061
322,1,0.473576,1.688696,0.1061
323,1,0.557684,2.011216,0.1061
324,1,0.616576,1.217440,0.1061
325,1,0.590871,1.934228,0.1061
326,1,0.698437,1.460262,0.1061
327,1,0.609122,2.501096,0.1061
328,1,0.616317,1.426124,0.1061
329,1,0.730574,2.616901,0.1060
330,1,0.842327,0.633213,0.1060
331,1,1.062343,3.666233,0.1060
332,1,1.294580,0.824950,0.1060
333,1,0.951532,2.768985,0.1060
334,1,0.681733,1.947019,0.1061
335,1,0.622652,1.155868,0.1061
336,1,0.627794,2.509372,0.1061
337,1,0.475715,1.985164,0.1060
338,1,0.500667,1.297733,0.1060
339,1,0.475209,2.020694,0.1060
340,1,0.476503,2.600738,0.1060
341,1,0.566336,1.401434,0.1060
342,1,0.603864,2.089664,0.1060
343,1,0.520387,2.134551,0.1059
344,1,0.535799,1.262324,0.1059
345,1,0.559683,2.390926,0.1059
346,1,0.647852,1.453952,0.1059
347,1,0.628019,1.964303,0.1059
348,1,0.467533,1.813994,0.1059
349,1,0.572929,1.491129,0.1059
350,1,0.586383,2.941083,0.1059
351,1,0.676108,0.991661,0.1058
352,1,0.584978,2.555204,0.1058
353,1,0.533514,1.514320,0.1058
354,1,0.499332,1.934562,0.1058
355,1,0.420054,2.412214,0.1058
356,1,0.435632,1.566236,0.1059
357,1,0.610562,3.382884,0.1058
358,1,0.970855,0.418817,0.1058
359,1,1.578726,4.122606,0.1058
360,1,0.924810,2.125342,0.1058
361,1,0.581587,1.391495,0.1058
362,1,0.570653,2.084439,0.1058
363,1,0.542900,1.882516,0.1057
364,1,0.549368,1.484595,0.1057
365,1,0.520272,2.335795,0.1057
366,1,0.533741,1.731407,0.1057
367,1,0.524609,1.700694,0.1058
368,1,0.597538,1.858550,0.1058
369,1,0.660024,1.439325,0.1058
370,1,0.582982,2.382770,0.1057
371,1,0.585409,1.350337,0.1057
372,1,0.596284,2.549712,0.1057
373,1,0.570577,1.702248,0.1057
374,1,0.527013,2.065947,0.1057
375,1,0.368943,2.447253,0.1057
376,1,0.545474,1.270039,0.1057
377,1,0.571716,3.686171,0.1057
378,1,0.785864,1.049366,0.1057
379,1,0.716984,2.868838,0.1057
380,1,0.550481,1.831697,0.1056
381,1,0.456188,1.952515,0.1056
382,1,0.395209,1.924726,0.1056
383,1,0.382171,2.885400,0.1056
384,1,0.466810,1.451552,0.1056
385,1,0.571467,2.754640,0.1056
386,1,0.592342,1.311476,0.1056
387,1,0.566868,2.778845,0.1056
388,1,0.555330,1.852343,0.1056
389,1,0.486610,2.271950,0.1056
390,1,0.416912,2.392116,0.1056
391,1,0.536161,1.436694,0.1055
392,1,0.555120,2.636729,0.1055
393,1,0.572240,1.398540,0.1055
394,1,0.402141,2.542343,0.1056
395,1,0.360676,2.202837,0.1056
396,1,0.327388,2.244938,0.1056
397,1,0.349368,2.093218,0.1056
398,1,0.362864,2.130013,0.1056
399,1,0.416207,2.399383,0.1056
400,1,0.405303,1.554506,0.1056
